last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-07 09:56:59  28650585173  1724246  1:50:55                  704282            13    9143495
2021-02-07 08:06:04  28649880891  1724233  1:59:55                 1035969            21   12440267
2021-02-07 06:06:09  28648844922  1724212  1:49:58                  617821            19    8090290
2021-02-07 04:16:11  28648227101  1724193  0:50:04                  353057             7   10154502
2021-02-07 03:26:07  28647874044  1724186  1:10:04                  640193            13   13157153
2021-02-07 02:16:03  28647233851  1724173  0:39:54                  389233             7   14047506
2021-02-07 01:36:09  28646844618  1724166  1:09:53                  373577            12    7697842
2021-02-07 00:26:16  28646471041  1724154  1:30:06                 1036941            19   16572641
2021-02-06 22:56:10  28645434100  1724135  0:49:57                  463758             6   13369600
2021-02-06 22:06:13  28644970342  1724129  2:10:08                 1285583            19   14225713
2021-02-06 19:56:05  28643684759  1724110  1:30:00                  959170            15   15346720
2021-02-06 18:26:05  28642725589  1724095  1:19:53                  911798            13   16436333
2021-02-06 17:06:12  28641813791  1724082  0:50:05                  345724             8    9940284
2021-02-06 16:16:07  28641468067  1724074  2:09:51                  868543            19    9631897
2021-02-06 14:06:16  28640599524  1724055  1:50:13                 1758593            29   22976324
2021-02-06 12:16:03  28638840931  1724026  0:49:55                  586551             8   16920870
2021-02-06 11:26:08  28638254380  1724018  1:19:55                  847003            11   15261951
2021-02-06 10:06:13  28637407377  1724007  1:50:04                  721763            16    9442810
2021-02-06 08:16:09  28636685614  1723991  2:09:58                  705725            13    7819266
2021-02-06 06:06:11  28635979889  1723978  2:00:00                  649547            18    7794563
2021-02-06 04:06:11  28635330342  1723960  0:40:10                  362992             5   13013489
2021-02-06 03:26:01  28634967350  1723955  1:09:53                  353436            11    7282821
2021-02-06 02:16:08  28634613914  1723944  1:10:07                  280547             7    5761649
2021-02-06 01:06:01  28634333367  1723937  0:30:01                  132045             3    6334640
2021-02-06 00:36:00  28634201322  1723934  1:39:47                  508014            12    7331286
2021-02-05 22:56:13  28633693308  1723922  1:40:00                  818235            25   11782584
2021-02-05 21:16:13  28632875073  1723897  1:10:12                  606504            10   12441107
2021-02-05 20:06:01  28632268569  1723887  1:39:53                 1005830            14   14500869
2021-02-05 18:26:08  28631262739  1723873  1:00:04                  532582            25   12767781
2021-02-05 17:26:04  28630730157  1723848  1:19:55                  578914            12   10431317
2021-02-05 16:06:09  28630151243  1723836  1:40:03                 1525945            42   21962626
2021-02-05 14:26:06  28628625298  1723794  0:29:55                  250375             5   12051476
2021-02-05 13:56:11  28628374923  1723789  1:40:02                 1261823            20   18164196
2021-02-05 12:16:09  28627113100  1723769  2:10:03                 2509401            54   27785755
2021-02-05 10:06:06  28624603699  1723715  1:50:03                 1409393            23   18441852
2021-02-05 08:16:03  28623194306  1723692  2:19:09                 1907611            27   19740997
