last                      credit      wus  last_change        credit_change    wus_change        ppd
2021-03-01 22:15:43  18456852764  1378239  2:10:04                  1413845            40   15653025
2021-03-01 20:05:39  18455438919  1378199  2:00:00                   695745            29    8348939
2021-03-01 18:05:39  18454743174  1378170  0:39:56                   560729            13   20219943
2021-03-01 17:25:43  18454182445  1378157  1:39:59                  2042943            35   29423283
2021-03-01 15:45:44  18452139502  1378122  1:40:00                  2395327            35   34492708
2021-03-01 14:05:44  18449744175  1378087  0:50:03                   766619            19   22056570
2021-03-01 13:15:41  18448977556  1378068  1:00:07                  1041982            16   24959036
2021-03-01 12:15:34  18447935574  1378052  0:59:49                  1604052            20   38615239
2021-03-01 11:15:45  18446331522  1378032  0:30:01                   436993            12   20964017
2021-03-01 10:45:44  18445894529  1378020  2:40:15                  2375656            41   21347548
2021-03-01 08:05:29  18443518873  1377979  1:49:47                  1737970            35   22796509
2021-03-01 06:15:42  18441780903  1377944  1:10:01                  1279561            22   26316131
2021-03-01 05:05:41  18440501342  1377922  0:50:02                  1176268            21   33853949
2021-03-01 04:15:39  18439325074  1377901  1:49:56                  1746902            41   22882403
2021-03-01 02:25:43  18437578172  1377860  0:50:07                  1151047            16   33072983
2021-03-01 01:35:36  18436427125  1377844  0:59:55                  1258854            21   30254516
2021-03-01 00:35:41  18435168271  1377823  2:30:00                  1826732            39   17536627
2021-02-28 22:05:41  18433341539  1377784  2:00:01                  1716314            33   20592907
2021-02-28 20:05:40  18431625225  1377751  2:00:03                  1858486            46   22292543
2021-02-28 18:05:37  18429766739  1377705  0:49:57                   761964            12   21966529
2021-02-28 17:15:40  18429004775  1377693  1:29:58                  1088590            25   17423893
2021-02-28 15:45:42  18427916185  1377668  0:40:03                   756070            16   27184539
2021-02-28 15:05:39  18427160115  1377652  2:00:00                  2111922            44   25343064
2021-02-28 13:05:39  18425048193  1377608  0:10:02                    16670             1    2392504
2021-02-28 12:55:37  18425031523  1377607  1:30:01                  1403004            31   22443907
2021-02-28 11:25:36  18423628519  1377576  1:10:07                  1139202            21   23396019
2021-02-28 10:15:29  18422489317  1377555  1:59:49                  1290594            31   15510825
2021-02-28 08:15:40  18421198723  1377524  2:08:42                  1582026            30   17700990
2021-02-28 06:06:58  18419616697  1377494  1:01:23                  1049453            18   24619261
2021-02-28 05:05:35  18418567244  1377476  0:49:54                   915884            20   26430319
2021-02-28 04:15:41  18417651360  1377456  2:00:01                  1304669            17   15653853
2021-02-28 02:15:40  18416346691  1377439  0:40:04                   447661            11   16088981
2021-02-28 01:35:36  18415899030  1377428  1:09:50                   971299            19   20028695
2021-02-28 00:25:46  18414927731  1377409  2:20:12                  1386002            28   14235683
2021-02-27 22:05:34  18413541729  1377381  1:59:52                  1063235            36   12773012
2021-02-27 20:05:42  18412478494  1377345  0:20:03                    53289             5    3827239
2021-02-27 19:45:39  18412425205  1377340  14:58:20                11020411           253   17665371
2021-02-27 04:47:19  18401404794  1377087  0:40:30                   355938             4   12655573
2021-02-27 04:06:49  18401048856  1377083  1:50:07                  1244826            28   16278638
2021-02-27 02:16:42  18399804030  1377055  0:40:09                   939999            11   33713538
2021-02-27 01:36:33  18398864031  1377044  1:09:55                   621859            29   12807775
2021-02-27 00:26:38  18398242172  1377015  1:40:04                  1513978            28   21786758
2021-02-26 22:46:34  18396728194  1376987  0:49:58                   794025            20   22883175
2021-02-26 21:56:36  18395934169  1376967  1:19:56                  1466141            23   26412548
2021-02-26 20:36:40  18394468028  1376944  0:30:02                   201023             5    9638394
2021-02-26 20:06:38  18394267005  1376939  1:59:56                  2070458            39   24859306
2021-02-26 18:06:42  18392196547  1376900  0:40:07                   981751            16   35240251
2021-02-26 17:26:35  18391214796  1376884  1:50:04                  1601211            30   20948611
2021-02-26 15:36:31  18389613585  1376854  1:29:52                  1955752            37   31338459
2021-02-26 14:06:39  18387657833  1376817  1:00:00                  1420026            30   34080624
2021-02-26 13:06:39  18386237807  1376787  0:50:05                   823732            13   23684008
2021-02-26 12:16:34  18385414075  1376774  0:19:53                   295671             6   21413222
2021-02-26 11:56:41  18385118404  1376768  1:40:09                  2130456            30   30632617
2021-02-26 10:16:32  18382987948  1376738  1:59:55                  1444436            36   17345277
2021-02-26 08:16:37  18381543512  1376702  2:09:54                  1555790            32   17246632
2021-02-26 06:06:43  18379987722  1376670  1:49:55                  2327991            37   30498623
2021-02-26 04:16:48  18377659731  1376633  2:00:17                  1345521            32   16108218
2021-02-26 02:16:31  18376314210  1376601  0:39:53                   819626            11   29592848
2021-02-26 01:36:38  18375494584  1376590  1:10:04                   746484            20   15341631
2021-02-26 00:26:34  18374748100  1376570  2:19:56                  2101179            39   21622423
2021-02-25 22:06:38  18372646921  1376531  1:59:58                   984955            27   11822744
2021-02-25 20:06:40  18371661966  1376504  0:30:04                   720993             9   34530928
2021-02-25 19:36:36  18370940973  1376495  1:39:59                   509295            23    7335070
2021-02-25 17:56:37  18370431678  1376472  0:29:59                   455261            10   21864675
2021-02-25 17:26:38  18369976417  1376462  1:50:05                  2059870            36   26945157
2021-02-25 15:36:33  18367916547  1376426  0:19:57                   111075             4    8017443
2021-02-25 15:16:36  18367805472  1376422  0:59:55                   627956            23   15091904
2021-02-25 14:16:41  18367177516  1376399  2:00:04                  1937836            46   23241120
2021-02-25 12:16:37  18365239680  1376353  1:50:00                  1341503            45   17561493
2021-02-25 10:26:37  18363898177  1376308  2:09:58                  1514938            36   16785155
2021-02-25 08:16:39  18362383239  1376272  2:00:09                  1451727            34   17398975
2021-02-25 06:16:30  18360931512  1376238  1:09:53                  1119604            19   23070304
2021-02-25 05:06:37  18359811908  1376219  0:49:52                   292537            13    8447592
2021-02-25 04:16:45  18359519371  1376206  1:40:11                  1123078            23   16142728
